step,smiles,sum,SAScore,DockScore,raw_SAScore,raw_DockScore,smiles_length,Validity,QED,logP,MolWt,TPSA,source,raw_smiles,Unnamed: 0.1,scaffold
,CCC(C)C(S)C(=O)NC(CC1C=CC=C2C=CC=CC=12)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=C2C(=CC=C1)C=CC=C2)C(O)=O)=O,,c1ccc2ccccc2c1
,CCC(C)C(S)C(=O)NC(CC1C=CC2=CC=CC=C2C=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=CC=2C(C=C1)=CC=CC2)C(O)=O)=O,,c1ccc2ccccc2c1
,CCC(C)C(S)C(=O)NC(CC1C=CC=C(C=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=CC(=CC=C1)C2=CC=CC=C2)C(=O)O)=O,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC=CC=1OC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=C(C=CC=C1)OC2=CC=CC=C2)C(=O)O)=O,,c1ccc(Oc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC=C(C=1)OC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O)=O,,c1ccc(Oc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=CC=C(C=C1)OC2=CC=CC=C2)C(=O)O)=O,,c1ccc(Oc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@H](C)CC)C(N[C@@H](CC=1C=CC(=CC1)O)C(=O)O)=O,,c1ccccc1
,CCC(C)C(S)C(=O)NC(CC1=CC=CC=C1C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC=1C(C2=CC=CC=C2)=CC=CC1)C(=O)O,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,,c1ccccc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1C=CC(F)=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC1=CC=C(OCC2=CC=C(F)C=C2)C=C1)C(=O)O,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1C=CC(F)=C(F)C=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC1=CC=C(OCC2=CC(F)=C(F)C=C2)C=C1)C(=O)O,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1=CC=CC=C1OCC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](CC=1C(OCC2=CC=CC=C2)=CC=CC1)C(=O)O,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(C)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(=O)N[C@@H](C)C(=O)O,,
,CCC(C)C(S)C(=O)NC(CC1C=CC=C(C=1)OCC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(N[C@@H](CC1=CC(=CC=C1)OCC2=CC=CC=C2)C(=O)O)=O)[C@@H](CC)C,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(N[C@@H](CC1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)O)=O)[C@@H](CC)C,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(N[C@H](C(=O)O)CC=1C=CC(=CC1)OCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)=O)[C@@H](CC)C,,c1ccc(COc2ccccc2)cc1
,CC(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O)C,,c1ccc(-c2ccccc2)cc1
,CCC(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O)CC,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1C=CC(=CC=1)C(F)(F)F)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(=O)N[C@H](C(=O)O)CC=1C=CC(=CC1)OCC2=CC=C(C=C2)C(F)(F)F)[C@@H](CC)C,,c1ccc(COc2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)OCC1C=CC(F)=CC=1F)C(=O)O,,,,,,,True,,,,,Known_active,S[C@H](C(=O)N[C@H](C(=O)O)CC1=CC=C(C=C1)OCC2=C(C=C(C=C2)F)F)[C@@H](CC)C,,c1ccc(COc2ccccc2)cc1
